Solver,network,property,cpus,state,runtime,SAT/UNSAT
Marabou,ACASXU_run2a_2_7_batch_2000,property3,16,Ok,37.46,UNSAT
Marabou,ACASXU_run2a_4_6_batch_2000,property3,16,Ok,58.49,UNSAT
Marabou,ACASXU_run2a_5_1_batch_2000,property3,16,Ok,391.51,UNSAT
Marabou,ACASXU_run2a_2_5_batch_2000,property3,16,Ok,36.97,UNSAT
Marabou,ACASXU_run2a_1_9_batch_2000,property3,16,Ok,12.48,SAT
Marabou,ACASXU_run2a_2_4_batch_2000,property3,16,Ok,30.90,UNSAT
Marabou,ACASXU_run2a_1_1_batch_2000,property3,16,Ok,1944.00,UNSAT
Marabou,ACASXU_run2a_2_3_batch_2000,property3,16,Ok,426.33,UNSAT
Marabou,ACASXU_run2a_4_5_batch_2000,property3,16,Ok,15.33,UNSAT
Marabou,ACASXU_run2a_4_1_batch_2000,property3,16,Ok,103.48,UNSAT
Marabou,ACASXU_run2a_5_3_batch_2000,property3,16,Ok,53.59,UNSAT
Marabou,ACASXU_run2a_3_5_batch_2000,property3,16,Ok,45.57,UNSAT
Marabou,ACASXU_run2a_3_7_batch_2000,property3,16,Ok,18.82,UNSAT
Marabou,ACASXU_run2a_4_2_batch_2000,property3,16,Ok,660.98,UNSAT
Marabou,ACASXU_run2a_3_2_batch_2000,property3,16,Ok,258.87,UNSAT
Marabou,ACASXU_run2a_5_7_batch_2000,property3,16,Ok,15.89,UNSAT
Marabou,ACASXU_run2a_1_3_batch_2000,property3,16,Ok,351.81,UNSAT
Marabou,ACASXU_run2a_5_9_batch_2000,property3,16,Ok,17.55,UNSAT
Marabou,ACASXU_run2a_2_2_batch_2000,property3,16,Ok,398.22,UNSAT
Marabou,ACASXU_run2a_1_6_batch_2000,property3,16,Ok,41.21,UNSAT
Marabou,ACASXU_run2a_3_6_batch_2000,property3,16,Ok,200.62,UNSAT
Marabou,ACASXU_run2a_5_6_batch_2000,property3,16,Ok,60.66,UNSAT
Marabou,ACASXU_run2a_5_5_batch_2000,property3,16,Ok,41.14,UNSAT
Marabou,ACASXU_run2a_1_2_batch_2000,property3,16,Ok,3390.92,UNSAT
Marabou,ACASXU_run2a_2_8_batch_2000,property3,16,Ok,19.42,UNSAT
Marabou,ACASXU_run2a_3_4_batch_2000,property3,16,Ok,59.53,UNSAT
Marabou,ACASXU_run2a_3_3_batch_2000,property3,16,Ok,62.74,UNSAT
Marabou,ACASXU_run2a_1_8_batch_2000,property3,16,Ok,13.99,SAT
Marabou,ACASXU_run2a_4_4_batch_2000,property3,16,Ok,15.38,UNSAT
Marabou,ACASXU_run2a_1_7_batch_2000,property3,16,Ok,14.87,SAT
Marabou,ACASXU_run2a_4_3_batch_2000,property3,16,Ok,326.63,UNSAT
Marabou,ACASXU_run2a_5_2_batch_2000,property3,16,Ok,64.39,UNSAT
Marabou,ACASXU_run2a_2_1_batch_2000,property3,16,Ok,232.61,UNSAT
Marabou,ACASXU_run2a_2_6_batch_2000,property3,16,Ok,37.07,UNSAT
Marabou,ACASXU_run2a_1_4_batch_2000,property3,16,Ok,87.23,UNSAT
Marabou,ACASXU_run2a_2_9_batch_2000,property3,16,Ok,13.28,UNSAT
Marabou,ACASXU_run2a_4_7_batch_2000,property3,16,Ok,56.22,UNSAT
Marabou,ACASXU_run2a_5_4_batch_2000,property3,16,Ok,36.66,UNSAT
Marabou,ACASXU_run2a_3_8_batch_2000,property3,16,Ok,74.76,UNSAT
Marabou,ACASXU_run2a_3_9_batch_2000,property3,16,Ok,76.59,UNSAT
Marabou,ACASXU_run2a_5_8_batch_2000,property3,16,Ok,51.12,UNSAT
Marabou,ACASXU_run2a_4_8_batch_2000,property3,16,Ok,60.48,UNSAT
Marabou,ACASXU_run2a_4_9_batch_2000,property3,16,Ok,42.10,UNSAT
Marabou,ACASXU_run2a_1_5_batch_2000,property3,16,Ok,64.95,UNSAT
Marabou,ACASXU_run2a_3_1_batch_2000,property3,16,Ok,81.42,UNSAT
Marabou,ACASXU_run2a_4_6_batch_2000,property3,32,Ok,72.79,UNSAT
Marabou,ACASXU_run2a_4_5_batch_2000,property3,32,Ok,17.64,UNSAT
Marabou,ACASXU_run2a_5_2_batch_2000,property3,32,Ok,50.39,UNSAT
Marabou,ACASXU_run2a_2_7_batch_2000,property3,32,Ok,21.75,UNSAT
Marabou,ACASXU_run2a_1_1_batch_2000,property3,32,Ok,641.42,UNSAT
Marabou,ACASXU_run2a_3_6_batch_2000,property3,32,Ok,73.05,UNSAT
Marabou,ACASXU_run2a_5_8_batch_2000,property3,32,Ok,51.09,UNSAT
Marabou,ACASXU_run2a_1_5_batch_2000,property3,32,Ok,62.15,UNSAT
Marabou,ACASXU_run2a_5_5_batch_2000,property3,32,Ok,42.95,UNSAT
Marabou,ACASXU_run2a_4_1_batch_2000,property3,32,Ok,104.44,UNSAT
Marabou,ACASXU_run2a_4_2_batch_2000,property3,32,Ok,386.82,UNSAT
Marabou,ACASXU_run2a_5_6_batch_2000,property3,32,Ok,53.97,UNSAT
Marabou,ACASXU_run2a_4_8_batch_2000,property3,32,Ok,43.14,UNSAT
Marabou,ACASXU_run2a_1_7_batch_2000,property3,32,Ok,14.82,SAT
Marabou,ACASXU_run2a_5_9_batch_2000,property3,32,Ok,18.19,UNSAT
Marabou,ACASXU_run2a_4_3_batch_2000,property3,32,Ok,247.85,UNSAT
Marabou,ACASXU_run2a_5_3_batch_2000,property3,32,Ok,48.05,UNSAT
Marabou,ACASXU_run2a_2_4_batch_2000,property3,32,Ok,20.61,UNSAT
Marabou,ACASXU_run2a_2_6_batch_2000,property3,32,Ok,18.51,UNSAT
Marabou,ACASXU_run2a_4_7_batch_2000,property3,32,Ok,24.75,UNSAT
Marabou,ACASXU_run2a_5_1_batch_2000,property3,32,Ok,234.24,UNSAT
Marabou,ACASXU_run2a_5_7_batch_2000,property3,32,Ok,15.50,UNSAT
Marabou,ACASXU_run2a_2_2_batch_2000,property3,32,Ok,222.84,UNSAT
Marabou,ACASXU_run2a_1_3_batch_2000,property3,32,Ok,293.51,UNSAT
Marabou,ACASXU_run2a_2_8_batch_2000,property3,32,Ok,18.27,UNSAT
Marabou,ACASXU_run2a_5_4_batch_2000,property3,32,Ok,43.45,UNSAT
Marabou,ACASXU_run2a_3_7_batch_2000,property3,32,Ok,15.84,UNSAT
Marabou,ACASXU_run2a_2_3_batch_2000,property3,32,Ok,281.01,UNSAT
Marabou,ACASXU_run2a_3_9_batch_2000,property3,32,Ok,44.85,UNSAT
Marabou,ACASXU_run2a_1_2_batch_2000,property3,32,Ok,317.70,UNSAT
Marabou,ACASXU_run2a_3_1_batch_2000,property3,32,Ok,50.19,UNSAT
Marabou,ACASXU_run2a_1_4_batch_2000,property3,32,Ok,83.45,UNSAT
Marabou,ACASXU_run2a_2_1_batch_2000,property3,32,Ok,180.21,UNSAT
Marabou,ACASXU_run2a_4_9_batch_2000,property3,32,Ok,33.87,UNSAT
Marabou,ACASXU_run2a_3_3_batch_2000,property3,32,Ok,61.01,UNSAT
Marabou,ACASXU_run2a_1_9_batch_2000,property3,32,Ok,14.32,SAT
Marabou,ACASXU_run2a_1_8_batch_2000,property3,32,Ok,15.27,SAT
Marabou,ACASXU_run2a_3_2_batch_2000,property3,32,Ok,215.96,UNSAT
Marabou,ACASXU_run2a_3_5_batch_2000,property3,32,Ok,22.25,UNSAT
Marabou,ACASXU_run2a_2_9_batch_2000,property3,32,Ok,16.06,UNSAT
Marabou,ACASXU_run2a_3_4_batch_2000,property3,32,Ok,43.59,UNSAT
